"","slugSeason","yearSeason","isSeasonCurrent","slugPlayerSeason","slugPlayerBREF","namePlayer","slugPosition","agePlayer","slugTeamBREF","countGames","countGamesStarted","pctFG","pctFG3","pctFG2","pctEFG","pctFT","isHOFPlayer","slugTeamsBREF","idPlayerNBA","urlPlayerThumbnail","urlPlayerHeadshot","urlPlayerPhoto","urlPlayerStats","urlPlayerActionPhoto","minutesTotals","fgmTotals","fgaTotals","fg3mTotals","fg3aTotals","fg2mTotals","fg2aTotals","ftmTotals","ftaTotals","orbTotals","drbTotals","trbTotals","astTotals","stlTotals","blkTotals","tovTotals","pfTotals","ptsTotals","countTeamsPlayerSeasonTotals"
"21","2023-24",2023,FALSE,"baileam01_2024","baileam01","Amari Bailey","PG",19,"CHO",10,0,0.333,0.125,0.438,0.354,0.857,FALSE,"CHO",1641735,"https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1641735.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1641735.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png","https://stats.nba.com/player/1641735","https://stats.nba.com/media/img/league/nba-headshot-fallback.png",65,8,24,1,8,7,16,6,7,6,3,9,7,3,0,4,2,23,1
"22","2023-24",2023,FALSE,"baldwpa01_2024","baldwpa01","Patrick Baldwin Jr.","SF",21,"WAS",38,7,0.381,0.32,0.483,0.481,0.679,FALSE,"WAS",1631116,"https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631116.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631116.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png","https://stats.nba.com/player/1631116","https://stats.nba.com/media/players/700/1631116.png",493,59,155,31,97,28,58,19,28,17,106,123,29,18,15,19,56,168,1
"23","2023-24",2023,FALSE,"ballla01_2024","ballla01","LaMelo Ball","PG",22,"CHO",22,22,0.433,0.355,0.5,0.515,0.865,FALSE,"CHO",1630163,"https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630163.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630163.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png","https://stats.nba.com/player/1630163","https://stats.nba.com/media/players/700/1630163.png",711,183,423,70,197,113,226,90,104,29,84,113,176,40,4,83,79,526,1
"24","2023-24",2023,FALSE,"bambamo01_2024","bambamo01","Mo Bamba","C",25,"PHI",57,17,0.49,0.391,0.537,0.553,0.68,FALSE,"PHI",1628964,"https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628964.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628964.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628964.png","https://stats.nba.com/player/1628964","https://stats.nba.com/media/players/700/1628964.png",740,97,198,25,64,72,134,34,50,77,161,238,41,22,60,39,101,253,1
"25","2023-24",2023,FALSE,"banchpa01_2024","banchpa01","Paolo Banchero","PF",21,"ORL",80,80,0.455,0.339,0.493,0.497,0.725,FALSE,"ORL",1631094,"https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631094.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631094.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png","https://stats.nba.com/player/1631094","https://stats.nba.com/media/players/700/1631094.png",2799,640,1407,119,351,521,1056,405,559,82,472,554,431,71,47,247,153,1804,1
"26","2023-24",2023,FALSE,"banede01_2024","banede01","Desmond Bane","SG",25,"MEM",42,42,0.464,0.381,0.536,0.552,0.87,FALSE,"MEM",1630217,"https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630217.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630217.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png","https://stats.nba.com/player/1630217","https://stats.nba.com/media/players/700/1630217.png",1443,360,776,137,360,223,416,140,161,36,149,185,230,43,22,112,120,997,1
"27","2023-24",2023,FALSE,"bantoda01_2024","bantoda01","Dalano Banton","PG",24,"TOT",54,9,0.404,0.296,0.475,0.463,0.783,FALSE,"BOS | POR",1630625,"https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630625.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630625.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png","https://stats.nba.com/player/1630625","https://stats.nba.com/media/players/700/1630625.png",1047,202,500,59,199,143,301,94,120,41,137,178,127,33,20,77,64,557,1
"28","2023-24",2023,FALSE,"barlodo01_2024","barlodo01","Dominick Barlow","PF",20,"SAS",33,1,0.496,0.333,0.51,0.509,0.69,FALSE,"SAS",1631230,"https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631230.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631230.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png","https://stats.nba.com/player/1631230","https://stats.nba.com/media/players/700/1631230.png",420,56,113,3,9,53,104,29,42,45,68,113,36,12,14,9,47,144,1
"29","2023-24",2023,FALSE,"barneha02_2024","barneha02","Harrison Barnes","PF",31,"SAC",82,82,0.474,0.387,0.571,0.576,0.801,FALSE,"SAC",203084,"https://stats.nba.com/media/players/230x185/203084.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203084.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203084.png","https://stats.nba.com/player/203084","https://stats.nba.com/media/players/700/203084.png",2381,347,732,149,385,198,347,157,196,67,182,249,99,54,12,58,98,1000,1
"30","2023-24",2023,FALSE,"barnesc01_2024","barnesc01","Scottie Barnes","SG",22,"TOR",60,60,0.475,0.341,0.536,0.528,0.781,FALSE,"TOR",1630567,"https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630567.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630567.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png","https://stats.nba.com/player/1630567","https://stats.nba.com/media/players/700/1630567.png",2094,447,942,101,296,346,646,196,251,141,353,494,363,75,88,165,118,1191,1
